fileName, processingTime, fitness
100.450.185051212.cnf,0.0,442
100.450.19073624.cnf,0.0,435
100.450.232061476.cnf,0.0,436
100.450.234222082.cnf,0.0,442
100.450.244924402.cnf,0.0,436
100.450.268823949.cnf,0.0,441
100.450.27782894.cnf,0.0,434
100.450.292993877.cnf,0.0,439
100.450.299813349.cnf,0.015625,436
100.450.317312702.cnf,0.0,432
100.450.379182505.cnf,0.015625,438
100.450.465510147.cnf,0.0,438
100.450.473731487.cnf,0.0,439
100.450.562677102.cnf,0.0,434
100.450.596395829.cnf,0.0,441
100.450.617676236.cnf,0.0,437
100.450.621295037.cnf,0.0,436
100.450.632072978.cnf,0.0,435
100.450.64481687.cnf,0.0,438
100.450.646151308.cnf,0.0,436
100.450.648893346.cnf,0.0,439
100.450.661818827.cnf,0.0,441
100.450.680081709.cnf,0.0,434
100.450.685657939.cnf,0.0,439
100.450.701186156.cnf,0.015625,441
100.450.755865893.cnf,0.0,440
100.450.771499479.cnf,0.0,443
100.450.832057164.cnf,0.0,439
100.450.912105512.cnf,0.0,434
100.450.913828363.cnf,0.0,436
100.450.919378425.cnf,0.0,441
100.450.958149348.cnf,0.0,438
100.450.975684953.cnf,0.0,436
100.450.988280688.cnf,0.0,436
100.450.993732303.cnf,0.0,434
100.460.1014883666.cnf,0.0,446
100.460.1027890229.cnf,0.0,448
100.460.1034670663.cnf,0.0,447
100.460.1035710439.cnf,0.0,449
100.460.1058594877.cnf,0.0,448
100.460.1072412257.cnf,0.0,443
100.460.1092352123.cnf,0.0,443
100.460.1107530692.cnf,0.0,447
100.460.1120465449.cnf,0.0,447
100.460.1142210744.cnf,0.0,445
100.460.1189894898.cnf,0.0,449
100.460.1190504159.cnf,0.0,448
100.460.1220038146.cnf,0.0,452
100.460.1229087645.cnf,0.0,450
100.460.1248014670.cnf,0.0,451
100.460.133427116.cnf,0.015625,447
100.460.1339750937.cnf,0.0,447
100.460.1365123519.cnf,0.015625,453
100.460.152641495.cnf,0.0,444
100.460.152995728.cnf,0.015625,448
100.460.294886552.cnf,0.0,446
100.460.353869069.cnf,0.0,451
100.460.361726079.cnf,0.0,451
